tfopwg_disp,dec,st_pmraerr1,st_pmraerr2,st_pmdecerr1,st_pmdecerr2,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,st_tmag,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2,disp_3class,log_orbper,sqrt_pl_rade,log_trandep,rel_radius,depth_norm,compactness
FP,-55.19791,0.065,-0.065,0.058,-0.058,0.0004,-0.0004,8.30792,0.00037,-0.00037,0.089,-0.089,8350.0,160.238,-160.238,43.1068,4.42399,-4.42399,8.0981,0.006,-0.006,2.981,-2.981,9081.0,173.2,-173.2,3.83,0.07,-0.07,3.05,0.09,-0.09,False,2.230865650645912,6.565576897729551,22.845527375928935,14.133377049180329,2737.704918032787,2.7239081967213115
PC,-61.33004,0.056,-0.056,0.057,-0.057,0.001287,-0.001287,0.758082,7.3e-06,-7.3e-06,0.1306038,-0.1306038,583.93181,58.10249,-58.10249,10.1273702,0.6658212,-0.6658212,9.718,0.006,-0.006,19.4965,-19.4965,9917.0,199.6,-199.6,3.75,0.06,-0.06,3.5086601,0.120121,-0.120121,Candidate,0.5642234420887299,3.182352934543873,20.18529477198899,2.8863925006585847,166.42587009211866,0.21606025616445435
FP,-52.714202,0.051,-0.051,0.045,-0.045,0.003745,-0.003745,1.4415577,7.4e-06,-7.4e-06,0.682,-0.682,507.0,54.9645,-54.9645,3.61078,0.26004,-0.26004,9.5719,0.006,-0.006,1.1015,-1.1015,6902.0,135.7,-135.7,4.25,0.09,-0.09,1.52,0.06,-0.06,False,0.8926362372528149,1.9002052520714703,20.044021563527846,2.375513157894737,333.55263157894734,0.9483932236842105
PC,-58.766393,0.073,-0.073,0.069,-0.069,0.000793,-0.000793,1.0085089,9e-07,-9e-07,0.343,-0.343,3051.0,688.931,-688.931,,,,10.0031,0.006,-0.006,9.557,-9.557,5215.2,1166.8,-1166.8,,,,,,,Candidate,0.6973926059749203,,21.838735243008706,,,
FP,-32.51188,0.053,-0.053,0.057,-0.057,0.000611,-0.000611,3.7039994,3.7e-06,-3.7e-06,0.599,-0.599,7590.0,1.22092,-1.22092,17.57,0.746573,-0.746573,9.6306,0.006,-0.006,3.3695,-3.3695,7013.8,299.6,-299.6,4.21,0.44,-0.44,1.9,0.08,-0.08,False,1.5484130830452971,4.191658383026938,22.750097428485702,9.247368421052633,3994.7368421052633,1.9494733684210526
FP,-60.907514,0.058,-0.058,0.048,-0.048,0.001123,-0.001123,1.3042553,2e-06,-2e-06,0.213,-0.213,914.0,628.954,-628.954,9.36472,1.30647,-1.30647,10.0119,0.006,-0.006,2.496,-2.496,6762.0,130.2,-130.2,4.11,0.08,-0.08,1.75,0.07,-0.07,False,0.8347575439866369,3.0601830010638253,20.633341130512516,5.351268571428571,522.2857142857143,0.7452887428571427
FP,-67.505097,0.104,-0.104,0.128,-0.128,0.00092,-0.00092,0.62627,2e-05,-2e-05,0.169,-0.169,1880.0,68.5212,-68.5212,5.72162,0.894462,-0.894462,10.2355,0.006,-0.006,1.0555,-1.0555,5622.0,131.2,-131.2,4.5,0.07,-0.07,0.93,0.05,-0.05,False,0.48628904900108444,2.391990802657903,21.354537614320183,6.152279569892473,2021.505376344086,0.6734086021505375
FP,-54.903922,0.096,-0.096,0.089,-0.089,0.00075,-0.00075,0.30412,1e-05,-1e-05,0.1,-0.1,1330.0,3.83107,-3.83107,10.417,0.668057,-0.668057,8.802,0.006,-0.006,9.484,-9.484,11892.0,235.8,-235.8,4.14,0.07,-0.07,2.52,0.09,-0.09,False,0.26552848381034033,3.227537761204352,21.008444779931953,4.133730158730159,527.7777777777778,0.12068253968253968
KP,-28.710584,0.1,-0.1,0.055,-0.055,0.000699,-0.000699,2.1805277,2.7e-06,-2.7e-06,0.040721,-0.040721,16340.1353205,426.89557,-426.89557,16.808853,0.8821375,-0.8821375,11.0657,0.006,-0.006,7.0655,-7.0655,6599.0,200.0,-200.0,4.21017,1.96411,-1.96411,1.2714601,0.0635578,-0.0635578,Planet,1.1570471264212294,4.099860119565056,23.516890207953523,13.220118350548317,12851.473137458264,1.7149792588851194
KP,-48.003099,0.052,-0.052,0.069,-0.069,0.00011,-0.00011,2.1846669,5e-07,-5e-07,0.0090748,-0.0090748,11708.0228549,34.928566,-34.928566,13.7028527,0.6619751,-0.6619751,9.4995,0.006,-0.006,0.7905,-0.7905,5630.0,,,4.37759,,,1.23824,0.0596985,-0.0596985,Planet,1.158347699567399,3.7017364438868414,23.18354015793506,11.066394802300039,9455.374446714692,1.7643323588318902
